Dates;Category;Descript;DayOfWeek;PdDistrict;Resolution;Address;X;Y
5/13/2015 21:00;LARCENY/THEFT;GRAND THEFT FROM LOCKED AUTO;Wednesday;NORTHERN;NONE;2000 Block of BUSH ST;-122.4310176;37.78738807
5/13/2015 21:00;LARCENY/THEFT;GRAND THEFT FROM LOCKED AUTO;Wednesday;INGLESIDE;NONE;500 Block of COLLEGE AV;-122.4236563;37.73255649
5/13/2015 21:00;LARCENY/THEFT;ATTEMPTED THEFT FROM LOCKED VEHICLE;Wednesday;TARAVAL;NONE;19TH AV / SANTIAGO ST;-122.4757735;37.74491907
5/12/2015 01:00;LARCENY/THEFT;GRAND THEFT FROM PERSON;Tuesday;TENDERLOIN;NONE;300 Block of OFARRELL ST;-122.4105093;37.78604322
5/12/2015 01:00;VEHICLE THEFT;STOLEN TRUCK;Tuesday;SOUTHERN;NONE;1100 Block of HOWARD ST;-122.4113591;37.77649448
5/12/2015 01:00;VEHICLE THEFT;STOLEN AND RECOVERED VEHICLE;Tuesday;SOUTHERN;NONE;1100 Block of HOWARD ST;-122.4113591;37.77649448
5/12/2015 01:00;LARCENY/THEFT;GRAND THEFT FROM LOCKED AUTO;Tuesday;CENTRAL;NONE;600 Block of CHESTNUT ST;-122.414077;37.80370389
5/12/2015 01:00;LARCENY/THEFT;PETTY THEFT OF PROPERTY;Tuesday;SOUTHERN;NONE;800 Block of BRYANT ST;-122.4034048;37.77542071
5/12/2015 01:00;ASSAULT;TRESPASS WITHIN 30 DAYS OF CREDIBLE THREAT;Tuesday;MISSION;NONE;1000 Block of POTRERO AV;-122.4065391;37.75648641
5/12/2015 01:00;ROBBERY;ROBBERY, BODILY FORCE;Tuesday;MISSION;NONE;MARKET ST / CHURCH ST;-122.42895;37.76750273
5/12/2015 00:59;ASSAULT;BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP;Tuesday;BAYVIEW;NONE;1000 Block of CONNECTICUT ST;-122.3972019;37.75353512
5/12/2015 00:45;LARCENY/THEFT;GRAND THEFT FROM UNLOCKED AUTO;Tuesday;CENTRAL;ARREST, CITED;LEAVENWORTH ST / VALLEJO ST;-122.4170328;37.79754233
5/12/2015 00:32;OTHER OFFENSES;TRAFFIC VIOLATION;Tuesday;MISSION;ARREST, BOOKED;MISSION ST / 16TH ST;-122.4196718;37.76505012
5/12/2015 00:15;OTHER OFFENSES;TRAFFIC VIOLATION;Tuesday;TARAVAL;ARREST, BOOKED;LINCOLN WY / 10TH AV;-122.4675141;37.76587643
5/12/2015 00:10;DRUNKENNESS;UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE;Tuesday;INGLESIDE;ARREST, BOOKED;3100 Block of MISSION ST;-122.4186097;37.74744531
5/12/2015 00:10;ASSAULT;AGGRAVATED ASSAULT WITH A DEADLY WEAPON;Tuesday;INGLESIDE;ARREST, BOOKED;3100 Block of MISSION ST;-122.4186097;37.74744531
5/12/2015 00:10;DRUG/NARCOTIC;POSSESSION OF METH-AMPHETAMINE;Tuesday;INGLESIDE;ARREST, BOOKED;3100 Block of MISSION ST;-122.4186097;37.74744531
5/12/2015 00:01;OTHER OFFENSES;MISCELLANEOUS INVESTIGATION;Tuesday;INGLESIDE;ARREST, CITED;1700 Block of FELTON ST;-122.4218805;37.7255738
5/12/2015 00:01;DRUG/NARCOTIC;UNDER INFLUENCE OF DRUGS IN A PUBLIC PLACE;Tuesday;NORTHERN;ARREST, BOOKED;1400 Block of POLK ST;-122.4206606;37.79009982
5/12/2015 00:01;FRAUD;CREDIT CARD, THEFT BY USE OF;Tuesday;TARAVAL;NONE;0 Block of ASHTON AV;-122.4623236;37.71938766
5/12/2015 00:01;OTHER OFFENSES;DRIVERS LICENSE, SUSPENDED OR REVOKED;Tuesday;NORTHERN;ARREST, BOOKED;EDDY ST / POLK ST;-122.4191831;37.78309982
5/12/2015 00:01;NON-CRIMINAL;LOST PROPERTY;Tuesday;CENTRAL;NONE;STOCKTON ST / PACIFIC AV;-122.4084331;37.79670393
5/11/2015 00:10;TRESPASS;TRESPASSING;Monday;NORTHERN;NONE;600 Block of OCTAVIA ST;-122.4247907;37.77785856
5/11/2015 00:05;NON-CRIMINAL;LOST PROPERTY;Monday;RICHMOND;NONE;22ND AV / BALBOA ST;-122.4812462;37.77644744
5/11/2015 00:01;NON-CRIMINAL;LOST PROPERTY;Monday;CENTRAL;NONE;500 Block of BROADWAY ST;-122.4064606;37.79794667
5/11/2015 00:01;FRAUD;CREDIT CARD, THEFT BY USE OF;Monday;TENDERLOIN;NONE;300 Block of ELLIS ST;-122.4119876;37.78502266
5/11/2015 00:01;LARCENY/THEFT;GRAND THEFT FROM UNLOCKED AUTO;Monday;NORTHERN;NONE;300 Block of LINDEN ST;-122.4235803;37.77627128
5/11/2015 00:01;LARCENY/THEFT;GRAND THEFT FROM LOCKED AUTO;Monday;PARK;NONE;0 Block of HATTIE ST;-122.4409428;37.76136589
5/11/2015 00:01;VANDALISM;MALICIOUS MISCHIEF, VANDALISM OF VEHICLES;Monday;NORTHERN;ARREST, CITED;400 Block of LARKIN ST;-122.4173124;37.78191323
5/11/2015 00:01;OTHER OFFENSES;FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY;Monday;TENDERLOIN;NONE;300 Block of ELLIS ST;-122.4119876;37.78502266
5/11/2015 00:01;OTHER OFFENSES;LOST/STOLEN LICENSE PLATE;Monday;RICHMOND;NONE;CLEMENT ST / 32ND AV;-122.4923745;37.78167415
5/3/2015 00:01;LARCENY/THEFT;PETTY THEFT BICYCLE;Sunday;SOUTHERN;NONE;1200 Block of MARKET ST;-122.4154442;37.77802457
5/3/2015 00:01;FRAUD;FRAUDULENT CREDIT APPLICATION;Sunday;NORTHERN;NONE;3500 Block of DIVISADERO ST;-122.4433887;37.8023065
5/3/2015 00:01;BURGLARY;BURGLARY OF RESIDENCE, UNLAWFUL ENTRY;Sunday;MISSION;NONE;2100 Block of HARRISON ST;-122.4128817;37.76348576
5/3/2015 00:01;LARCENY/THEFT;GRAND THEFT FROM UNLOCKED AUTO;Sunday;TARAVAL;NONE;0 Block of AERIAL WY;-122.4687742;37.75312839
5/3/2015 00:01;LARCENY/THEFT;GRAND THEFT FROM LOCKED AUTO;Sunday;TARAVAL;NONE;3000 Block of RIVERA ST;-122.4990032;37.74581692
5/3/2015 00:01;OTHER OFFENSES;FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY;Sunday;NORTHERN;NONE;3500 Block of DIVISADERO ST;-122.4433887;37.8023065
5/3/2015 00:01;LARCENY/THEFT;LOST PROPERTY, PETTY THEFT;Sunday;TENDERLOIN;NONE;POWELL ST / GEARY ST;-122.408231;37.78735949
5/3/2015 00:01;LARCENY/THEFT;GRAND THEFT FROM LOCKED AUTO;Sunday;NORTHERN;NONE;FILLMORE ST / LAUSSAT ST;-122.4303551;37.77163857
5/3/2015 00:01;LARCENY/THEFT;GRAND THEFT FROM LOCKED AUTO;Sunday;NORTHERN;NONE;FRANKLIN ST / POST ST;-122.4232177;37.7864018
5/2/2015 00:01;DRUG/NARCOTIC;POSSESSION OF NARCOTICS PARAPHERNALIA;Saturday;NORTHERN;ARREST, BOOKED;700 Block of ELLIS ST;-122.4185621;37.78418471
5/2/2015 00:01;VANDALISM;MALICIOUS MISCHIEF, VANDALISM OF VEHICLES;Saturday;MISSION;NONE;500 Block of CAPP ST;-122.4179558;37.75788012
5/2/2015 00:01;LARCENY/THEFT;GRAND THEFT FROM UNLOCKED AUTO;Saturday;NORTHERN;ARREST, CITED;2200 Block of PINE ST;-122.4332597;37.78805511
5/2/2015 00:01;BURGLARY;BURGLARY OF RESIDENCE, UNLAWFUL ENTRY;Saturday;RICHMOND;ARREST, BOOKED;800 Block of 46TH AV;-122.5068211;37.77245369
5/2/2015 00:01;LARCENY/THEFT;GRAND THEFT FROM UNLOCKED AUTO;Saturday;TARAVAL;NONE;200 Block of STONECREST DR;-122.4741228;37.72574161
5/2/2015 00:01;VEHICLE THEFT;STOLEN MOTORCYCLE;Saturday;TENDERLOIN;NONE;HYDE ST / MCALLISTER ST;-122.415318;37.78071793
4/30/2015 00:01;VANDALISM;MALICIOUS MISCHIEF, VANDALISM;Friday;SOUTHERN;NONE;1600 Block of FOLSOM ST;-122.4152808;37.77023245
4/30/2015 00:01;LARCENY/THEFT;GRAND THEFT OF PROPERTY;Friday;NORTHERN;NONE;1500 Block of CALIFORNIA ST;-122.4198886;37.79073538
4/30/2015 00:01;VEHICLE THEFT;STOLEN MOTORCYCLE;Friday;CENTRAL;NONE;700 Block of NORTHPOINT ST;-122.4195705;37.80587809
4/30/2015 00:01;BURGLARY;BURGLARY OF RESIDENCE, UNLAWFUL ENTRY;Friday;INGLESIDE;ARREST, CITED;1700 Block of NOE ST;-122.4308821;37.74111032
4/30/2015 00:01;FORGERY/COUNTERFEITING;CHECKS OR LEGAL INSTRUMENTS, UTTERING FORGED;Friday;BAYVIEW;ARREST, BOOKED;1700 Block of EGBERT AV;-122.3983176;37.72650235
